testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_APN_001,Create Private APN With Static IPV4 Successfully,smoke|regression|positive|apn,TC_APN_001,,false,,true
TC_APN_002,Create Public APN With Dynamic IPV4 Successfully,regression|positive|apn,TC_APN_002,,false,,true
TC_APN_003,Create Private APN With IPV6 Successfully,regression|positive|apn,TC_APN_003,,false,,true
TC_APN_004,Create APN With IPV4 And IPV6 Dual Stack Successfully,regression|positive|apn,TC_APN_004,,false,,true
TC_APN_005,Create APN With Secondary Details,regression|positive|apn,TC_APN_005,,false,,true
TC_APN_006,Create APN With QoS Details,regression|positive|apn|qos,TC_APN_006,,false,,true
TC_APN_007,Verify Create APN Page Elements Are Visible,smoke|regression|positive|apn,TC_APN_007,,false,,true
TC_APN_008,Verify IP Allocation Type Appears After IP Address Type Selection,regression|positive|apn,TC_APN_008,,false,,true
TC_APN_009,Verify Cancel Button Redirects To Manage APN,regression|positive|apn|navigation,TC_APN_009,,false,,true
TC_APN_010,Submit With No Fields Filled Should Show Error,regression|negative|apn,TC_APN_010,,false,,true
TC_APN_011,Missing APN Name Should Show Error,regression|negative|apn,TC_APN_011,,false,,true
TC_APN_012,Missing APN ID Should Show Error,regression|negative|apn,TC_APN_012,,false,,true
TC_APN_013,Missing APN Type Should Show Error,regression|negative|apn,TC_APN_013,,false,,true
TC_APN_014,Missing IP Address Type Should Show Error,regression|negative|apn,TC_APN_014,,false,,true
TC_APN_015,Missing IP Allocation Type Should Show Error,regression|negative|apn,TC_APN_015,,false,,true
TC_APN_016,APN ID Exceeding 19 Digits Should Show Error,regression|negative|apn|boundary,TC_APN_016,,false,,true
TC_APN_017,Duplicate APN Name Should Show Error,regression|negative|apn,TC_APN_017,,false,,true
TC_APN_018,SQL Injection In APN Name Should Be Rejected,regression|negative|security|apn,TC_APN_018,,false,,true
TC_APN_019,Special Characters In APN Name Should Be Rejected,regression|negative|security|apn,TC_APN_019,,false,,true
TC_APN_020,HLR APN ID Exceeding 19 Digits Should Show Error,regression|negative|apn|boundary,TC_APN_020,,false,,true
TC_APN_021,Direct Access To Create APN Without Login Should Redirect,regression|negative|security|apn|navigation,TC_APN_021,,false,,true
TC_APN_022,Direct Access To Manage APN Without Login Should Redirect,regression|negative|security|apn|navigation,TC_APN_022,,false,,true
