testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_ONBOARD_001,Create Customer And Billing Account With All Fields,smoke|positive|onboard|e2e|api,TC_ONBOARD_001,,false,,true
TC_ONBOARD_002,Create Customer Without Optional UnifiedID,positive|onboard|optional-fields|api,TC_ONBOARD_002,,false,,true
TC_ONBOARD_003,Create Customer Without Optional Address Lines 2 To 5,positive|onboard|optional-fields|api,TC_ONBOARD_003,,false,,true
TC_ONBOARD_004,Create Customer Without Optional AlternateName,positive|onboard|optional-fields|api,TC_ONBOARD_004,,false,,true
TC_ONBOARD_005,Create Customer Without Optional TechContactPersonMobile,positive|onboard|optional-fields|api,TC_ONBOARD_005,,false,,true
TC_ONBOARD_006,Create Customer Without Optional TechContactPersonEmail,positive|onboard|optional-fields|api,TC_ONBOARD_006,,false,,true
TC_ONBOARD_007,Create Customer Without Optional LeadPersonOrAccManagerID,positive|onboard|optional-fields|api,TC_ONBOARD_007,,false,,true
TC_ONBOARD_008,Create Customer Without Optional Billing Address Lines 2 To 5,positive|onboard|optional-fields|api,TC_ONBOARD_008,,false,,true
TC_ONBOARD_009,Create Customer With Only Mandatory Fields,positive|onboard|mandatory-only|api,TC_ONBOARD_009,,false,,true
TC_ONBOARD_010,Missing CustomerReferenceNumber Should Return Error,negative|onboard|validation|api,TC_ONBOARD_010,,false,,true
TC_ONBOARD_011,Missing CompanyName Should Return Error,negative|onboard|validation|api,TC_ONBOARD_011,,false,,true
TC_ONBOARD_012,Missing FirstName Should Return Error,negative|onboard|validation|api,TC_ONBOARD_012,,false,,true
TC_ONBOARD_013,Missing LastName Should Return Error,negative|onboard|validation|api,TC_ONBOARD_013,,false,,true
TC_ONBOARD_014,Missing IdentityNumber Should Return Error,negative|onboard|validation|api,TC_ONBOARD_014,,false,,true
TC_ONBOARD_015,Missing CustomerSegmentCode Should Return Error,negative|onboard|validation|api,TC_ONBOARD_015,,false,,true
TC_ONBOARD_016,Missing BusinessUnitName Should Return Error,negative|onboard|validation|api,TC_ONBOARD_016,,false,,true
TC_ONBOARD_017,Missing BillingAccountName Should Return Error,negative|onboard|validation|api,TC_ONBOARD_017,,false,,true
TC_ONBOARD_018,Missing BillingAccountNumber Should Return Error,negative|onboard|validation|api,TC_ONBOARD_018,,false,,true
TC_ONBOARD_019,Missing CustomerAddressLine1 Should Return Error,negative|onboard|validation|api,TC_ONBOARD_019,,false,,true
TC_ONBOARD_020,Missing CustomerCountry Should Return Error,negative|onboard|validation|api,TC_ONBOARD_020,,false,,true
TC_ONBOARD_021,Missing OrderNumber In Header Should Return Error,negative|onboard|validation|header|api,TC_ONBOARD_021,,false,,true
TC_ONBOARD_022,Missing TaskID In Header Should Return Error,negative|onboard|validation|header|api,TC_ONBOARD_022,,false,,true
TC_ONBOARD_023,Invalid CustomerSegmentCode Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_023,,false,,true
TC_ONBOARD_024,Invalid CustomerType Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_024,,false,,true
TC_ONBOARD_025,Invalid BillHierarchyFlag Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_025,,false,,true
TC_ONBOARD_026,Invalid BillingAccountStatus Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_026,,false,,true
TC_ONBOARD_027,Invalid MaxNumberIMSIs Non Numeric Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_027,,false,,true
TC_ONBOARD_028,Invalid CustomerGenre Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_028,,false,,true
TC_ONBOARD_029,Invalid Category Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_029,,false,,true
TC_ONBOARD_030,Invalid Email Format Should Return Error,negative|onboard|validation|invalid|api,TC_ONBOARD_030,,false,,true
TC_ONBOARD_033,Duplicate CustomerReferenceNumber Should Return Error,edge-case|onboard|duplicate|api,TC_ONBOARD_033,,false,,true
TC_ONBOARD_034,Malformed XML Body Should Return Error,edge-case|onboard|malformed|api,TC_ONBOARD_034,,false,,true
TC_ONBOARD_035,Empty SOAP Body Should Return Error,edge-case|onboard|empty-body|api,TC_ONBOARD_035,,false,,true
TC_ONBOARD_036,Wrong SOAPAction Header Should Return Error,edge-case|onboard|header|api,TC_ONBOARD_036,,false,,true
TC_ONBOARD_037,MaxNumberIMSIs Zero Should Return Error Or Accept,edge-case|onboard|boundary|api,TC_ONBOARD_037,,false,,true
TC_ONBOARD_038,MaxSIMNumber Zero Should Return Error Or Accept,edge-case|onboard|boundary|api,TC_ONBOARD_038,,false,,true
TC_ONBOARD_039,Negative MaxNumberIMSIs Should Return Error,edge-case|onboard|boundary|api,TC_ONBOARD_039,,false,,true
TC_ONBOARD_040,Special Characters In CompanyName,edge-case|onboard|special-chars|api,TC_ONBOARD_040,,false,,true
