testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_CSRJ_001,Navigate To CSR Journey Module Via Admin,positive|smoke|regression|csr-journey|navigation,TC_CSRJ_001,,false,,true
TC_CSRJ_002,Select Customer And Verify BU Dropdown Populates,positive|regression|csr-journey|customer-selection,TC_CSRJ_002,,false,,true
TC_CSRJ_018,BU Dropdown Not Interactable Without Customer Selection,negative|regression|csr-journey|bu-selection|validation,TC_CSRJ_018,,false,,true
TC_CSRJ_003,Select BU And Verify Create Order Button Visible,positive|regression|csr-journey|bu-selection,TC_CSRJ_003,,false,,true
TC_CSRJ_017,Create Order Not Visible Without BU Selection,negative|regression|csr-journey|create-order|validation,TC_CSRJ_017,,false,,true
TC_CSRJ_006,Verify Wizard Step Indicators Are Visible,positive|regression|csr-journey|wizard-steps,TC_CSRJ_006,,false,,true
TC_CSRJ_012,APN Type Dropdown Disabled Without Tariff Plan,negative|regression|csr-journey|apn-type|validation,TC_CSRJ_012,,false,,true
TC_CSRJ_010,Select Tariff Plan And Verify APN Type Becomes Enabled,positive|regression|csr-journey|tariff-plan|dependency,TC_CSRJ_010,,false,,true
TC_CSRJ_013,Add APNs Button Disabled Without APN Type,negative|regression|csr-journey|apn|validation,TC_CSRJ_013,,false,,true
TC_CSRJ_019,Select APN Type Public And Verify Add APNs Enabled,negative|regression|csr-journey|apn-type|public,TC_CSRJ_019,,false,,true
TC_CSRJ_020,Select APN Type Any And Verify Add APNs Enabled,negative|regression|csr-journey|apn-type|any,TC_CSRJ_020,,false,,true
TC_CSRJ_041,Service Plan Input Disabled Until Tariff Plan Selected,negative|regression|csr-journey|service-plan|validation,TC_CSRJ_041,,false,,true
TC_CSRJ_036,Select Bundle Plan After Fetch Device Plan,positive|regression|csr-journey|bundle-plan|device-plan,TC_CSRJ_036,,false,,true
TC_CSRJ_037,Fill End Date On Standard Services,positive|regression|csr-journey|end-date,TC_CSRJ_037,,false,,true
TC_CSRJ_007,Navigate Previous From Additional To Standard Services,positive|regression|csr-journey|navigation|previous,TC_CSRJ_007,,false,,true
TC_CSRJ_008,Navigate Previous From Summary To Additional Services,positive|regression|csr-journey|navigation|previous,TC_CSRJ_008,,false,,true
TC_CSRJ_009,Verify Customer And BU Info Displayed On Summary,positive|regression|csr-journey|summary|validation,TC_CSRJ_009,,false,,true
TC_CSRJ_011,Verify Tariff Plan Accordion On Summary Shows Selected TP,positive|regression|csr-journey|summary|tariff-plan,TC_CSRJ_011,,false,,true
TC_CSRJ_014,Close From Standard Services Should Redirect Without Saving,negative|regression|csr-journey|close|standard-services,TC_CSRJ_014,,false,,true
TC_CSRJ_015,Close From Additional Services Should Redirect Without Saving,negative|regression|csr-journey|close|additional-services,TC_CSRJ_015,,false,,true
TC_CSRJ_016,Close From Summary Should Redirect Without Saving,negative|regression|csr-journey|close|summary,TC_CSRJ_016,,false,,true
TC_CSRJ_021,Close Service Plan Modal Without Saving,negative|regression|csr-journey|service-plan|modal,TC_CSRJ_021,,false,,true
TC_CSRJ_022,Close Discount Modal Without Saving,negative|regression|csr-journey|discount|modal,TC_CSRJ_022,,false,,true
TC_CSRJ_005,Save And Continue Should Stay On Wizard,positive|regression|csr-journey|save-continue,TC_CSRJ_005,,false,,true
TC_CSRJ_034,Fill And Save Service Plan Via Modal,positive|regression|csr-journey|service-plan|modal,TC_CSRJ_034,,false,,true
TC_CSRJ_035,Fill And Save Discount On Additional Services,positive|regression|csr-journey|discount|save,TC_CSRJ_035,,false,,true
TC_CSRJ_027,Verify Account VAS Accordion Toggle,edge-case|regression|csr-journey|vas|accordion,TC_CSRJ_027,,false,,true
TC_CSRJ_028,Verify Device VAS Accordion Toggle,edge-case|regression|csr-journey|vas|accordion,TC_CSRJ_028,,false,,true
TC_CSRJ_029,Verify Breadcrumb Updates Across Wizard Steps,edge-case|regression|csr-journey|breadcrumb|navigation,TC_CSRJ_029,,false,,true
TC_CSRJ_030,Verify APN Table Headers On Landing Page,edge-case|regression|csr-journey|grid|table-headers,TC_CSRJ_030,,false,,true
TC_CSRJ_031,Verify Discount Accordion Toggle On Additional Services,edge-case|regression|csr-journey|discount|accordion,TC_CSRJ_031,,false,,true
TC_CSRJ_032,Verify Summary Accordion Sections Expandable,edge-case|regression|csr-journey|summary|accordion,TC_CSRJ_032,,false,,true
TC_CSRJ_033,Select Addon Plan And Verify Table Populates,positive|regression|csr-journey|addon-plan,TC_CSRJ_033,,false,,true
TC_CSRJ_038,Search Customer By Name In Dropdown,positive|regression|csr-journey|customer-search,TC_CSRJ_038,,false,,true
TC_CSRJ_039,Search Tariff Plan By Name In Dropdown,positive|regression|csr-journey|tariff-plan|search,TC_CSRJ_039,,false,,true
TC_CSRJ_040,APN Type Conflict Should Show Error,negative|regression|csr-journey|apn-conflict|validation,TC_CSRJ_040,,false,,true
TC_CSRJ_042,Save Account VAS Without Filling Required Fields,negative|regression|csr-journey|vas|validation,TC_CSRJ_042,,false,,true
TC_CSRJ_043,Save Device VAS Without Filling Required Fields,negative|regression|csr-journey|vas|validation,TC_CSRJ_043,,false,,true
TC_CSRJ_044,Save Discount Without Filling Required Fields,negative|regression|csr-journey|discount|validation,TC_CSRJ_044,,false,,true
TC_CSRJ_050,Navigate Full Wizard Forward And Backward,edge-case|regression|csr-journey|navigation|full-cycle,TC_CSRJ_050,,false,,true
TC_CSRJ_051,Verify All APN Type Options Available,edge-case|regression|csr-journey|apn-type|options,TC_CSRJ_051,,false,,true
TC_CSRJ_004,Create CSR Journey End To End Standard Flow,positive|smoke|regression|csr-journey|e2e|create-order,TC_CSRJ_004,,false,,true
TC_CSRJ_023,Verify CSR Summary Icon Visible In Grid,edge-case|regression|csr-journey|grid|icons,TC_CSRJ_023,,false,,true
TC_CSRJ_024,Verify Edit Icon Visible In CSR Journey Grid,edge-case|regression|csr-journey|grid|icons,TC_CSRJ_024,,false,,true
TC_CSRJ_025,Verify Delete Icon Visible In CSR Journey Grid,edge-case|regression|csr-journey|grid|icons,TC_CSRJ_025,,false,,true
TC_CSRJ_026,Verify Change Tariff Plan Icon Visible In Grid,edge-case|regression|csr-journey|grid|icons,TC_CSRJ_026,,false,,true
TC_CSRJ_045,Verify Usage Based Charges Grid On Landing Page,edge-case|regression|csr-journey|grid|usage-charges,TC_CSRJ_045,,false,,true
TC_CSRJ_046,Verify Transaction History Grid On Landing Page,edge-case|regression|csr-journey|grid|txn-history,TC_CSRJ_046,,false,,true
TC_CSRJ_047,Verify Order Summary Heading On Landing Page,edge-case|regression|csr-journey|order-summary|landing,TC_CSRJ_047,,false,,true
TC_CSRJ_048,View CSR Summary Popup Via Eye Icon,edge-case|regression|csr-journey|grid|popup,TC_CSRJ_048,,false,,true
TC_CSRJ_049,CSR Overwrite Modal In Edit Mode,edge-case|regression|csr-journey|overwrite|modal,TC_CSRJ_049,,false,,true
TC_CSRJ_052,Modify CSR Journey Via Edit And Save,positive|regression|csr-journey|modify|edit,TC_CSRJ_052,,false,,true
TC_CSRJ_053,Edit CSR Journey Update Service Types And Save,positive|regression|csr-journey|modify|edit|service-types,TC_CSRJ_053,,false,,true
TC_CSRJ_054,Add Multiple Device Plans In Single CSR Journey,positive|regression|csr-journey|multiple-device-plans|device-plan,TC_CSRJ_054,,false,,true
TC_CSRJ_055,Verify Multiple Device Plan Rows On Summary,positive|regression|csr-journey|multiple-device-plans|summary,TC_CSRJ_055,,false,,true
TC_CSRJ_004_Delete,Delete CSR Created In Test Case 4,positive|regression|csr-journey|delete|cleanup,TC_CSRJ_004_Delete,,false,,true
