testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_DSC_001,Verify Manage Devices Grid And Action Bar,smoke|regression|positive|device_state,TC_DSC_001,,false,,true
TC_DSC_002,TestActive To Activated,smoke|regression|positive|device_state|testactive,TC_DSC_002,,false,,true
TC_DSC_003,TestActive To Suspended,regression|positive|device_state|testactive,TC_DSC_003,,false,,true
TC_DSC_004,Activated To Suspended,regression|positive|device_state|activated,TC_DSC_004,,false,,true
TC_DSC_005,Activated To Terminate,regression|positive|device_state|activated,TC_DSC_005,,false,,true
TC_DSC_006,Suspended To Terminate,regression|positive|device_state|suspended,TC_DSC_006,,false,,true
TC_DSC_007,InActive To Activated,regression|positive|device_state|inactive,TC_DSC_007,,false,,true
TC_DSC_008,InActive To TestActive,regression|positive|device_state|inactive,TC_DSC_008,,false,,true
TC_DSC_009,Verify State Change Popup Opens,regression|positive|device_state,TC_DSC_009,,false,,true
TC_DSC_010,Close Popup Without Submitting Should Not Change State,regression|positive|device_state,TC_DSC_010,,false,,true
TC_DSC_011,Activated To TestActive Should Be Blocked,regression|negative|device_state|activated,TC_DSC_011,,false,,true
TC_DSC_012,Activated To TestReady Should Be Blocked,regression|negative|device_state|activated,TC_DSC_012,,false,,true
TC_DSC_013,Suspended To TestActive Should Be Blocked,regression|negative|device_state|suspended,TC_DSC_013,,false,,true
TC_DSC_014,No Device Selected Should Not Allow Action,regression|negative|device_state,TC_DSC_014,,false,,true
TC_DSC_015,Proceed Without Selecting Reason Should Be Blocked,regression|negative|device_state,TC_DSC_015,,false,,true
TC_DSC_016,Direct Access To ManageDevices Without Login,regression|negative|security|device_state|navigation,TC_DSC_016,,false,,true
