testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_IPP_001,E2E Create IP Pool With Public APN,smoke|regression|positive|ip_pool,TC_IPP_001,,false,,true
TC_IPP_002,Verify IP Pool Listing Page Loads,smoke|regression|positive|ip_pool,TC_IPP_002,,false,,true
TC_IPP_003,Verify Create IP Pool Form Elements Visible,smoke|regression|positive|ip_pool,TC_IPP_003,,false,,true
TC_IPP_004,Verify IP Details Panel After Clicking Create,regression|positive|ip_pool,TC_IPP_004,,false,,true
TC_IPP_005,Verify Pool Count In IP Details Panel,regression|positive|ip_pool,TC_IPP_005,,false,,true
TC_IPP_006,Cancel Before Submit Redirects To Listing,regression|positive|ip_pool|navigation,TC_IPP_006,,false,,true
TC_IPP_007,Verify APN Dropdown Populates After Account And Type,regression|positive|ip_pool,TC_IPP_007,,false,,true
TC_IPP_008,Verify Close Button On Create Page Redirects,regression|positive|ip_pool|navigation,TC_IPP_008,,false,,true
TC_IPP_009,Create With No Fields Filled Should Show Error,regression|negative|ip_pool,TC_IPP_009,,false,,true
TC_IPP_010,Create Without Account Should Show Error,regression|negative|ip_pool,TC_IPP_010,,false,,true
TC_IPP_011,Create Without APN Type Should Show Error,regression|negative|ip_pool,TC_IPP_011,,false,,true
TC_IPP_012,Create Without Number Of IPs Should Show Error,regression|negative|ip_pool,TC_IPP_012,,false,,true
TC_IPP_013,Create Without APN Selected Should Show Error,regression|negative|ip_pool,TC_IPP_013,,false,,true
TC_IPP_014,Create With Zero IPs Should Show Error,regression|negative|ip_pool|boundary,TC_IPP_014,,false,,true
TC_IPP_015,Create With Non Numeric IPs Should Show Error,regression|negative|ip_pool|boundary,TC_IPP_015,,false,,true
TC_IPP_016,Direct Access To Create IP Pool Without Login,regression|negative|security|ip_pool|navigation,TC_IPP_016,,false,,true
TC_IPP_017,Direct Access To IP Pool List Without Login,regression|negative|security|ip_pool|navigation,TC_IPP_017,,false,,true
