testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_WL_001,E2E Create IP Whitelisting Policy TCP Any Port,smoke|regression|positive|ip_whitelist,TC_WL_001,,false,,true
TC_WL_002,Verify IP Whitelisting Listing Page Loads,smoke|regression|positive|ip_whitelist,TC_WL_002,,false,,true
TC_WL_003,Verify Create IP Whitelisting Form Elements Visible,smoke|regression|positive|ip_whitelist,TC_WL_003,,false,,true
TC_WL_004,Verify BU Dropdown Populates After Customer Selection,regression|positive|ip_whitelist,TC_WL_004,,false,,true
TC_WL_005,Verify Rule Dialog Opens After Customer And BU Selected,regression|positive|ip_whitelist,TC_WL_005,,false,,true
TC_WL_006,Verify Rule Appears In Grid After Submitting,regression|positive|ip_whitelist,TC_WL_006,,false,,true
TC_WL_007,Verify Create Button Enabled After Adding Rule,regression|positive|ip_whitelist,TC_WL_007,,false,,true
TC_WL_008,Create Policy With EnterPort And Specific Port Value,regression|positive|ip_whitelist,TC_WL_008,,false,,true
TC_WL_009,Verify Cancel Button Redirects To Listing,regression|positive|ip_whitelist|navigation,TC_WL_009,,false,,true
TC_WL_010,Add Rule Without Customer Should Not Open Dialog,regression|negative|ip_whitelist,TC_WL_010,,false,,true
TC_WL_011,Add Rule Without BU Should Not Open Dialog,regression|negative|ip_whitelist,TC_WL_011,,false,,true
TC_WL_012,Create Button Disabled With No Rules,regression|negative|ip_whitelist,TC_WL_012,,false,,true
TC_WL_013,Submit Rule With No Fields Should Show Error,regression|negative|ip_whitelist,TC_WL_013,,false,,true
TC_WL_014,Submit Rule Without Destination Should Show Error,regression|negative|ip_whitelist,TC_WL_014,,false,,true
TC_WL_015,Submit Rule With Invalid Destination Address,regression|negative|ip_whitelist,TC_WL_015,,false,,true
TC_WL_016,Port Value Exceeding 65535 Should Show Error,regression|negative|ip_whitelist|boundary,TC_WL_016,,false,,true
TC_WL_017,Close Rule Dialog Without Submitting,regression|negative|ip_whitelist,TC_WL_017,,false,,true
TC_WL_018,Close Create Page Before Submitting,regression|negative|ip_whitelist|navigation,TC_WL_018,,false,,true
TC_WL_019,Direct Access To Create IP Whitelisting Without Login,regression|negative|security|ip_whitelist|navigation,TC_WL_019,,false,,true
TC_WL_020,Direct Access To IP Whitelisting List Without Login,regression|negative|security|ip_whitelist|navigation,TC_WL_020,,false,,true
