testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_ROLE_001,Navigate To Manage Role Page,positive|role-management|navigation|smoke,TC_ROLE_001,,false,,true
TC_ROLE_002,Verify Role Grid Loads With Data,positive|role-management|grid,TC_ROLE_002,,false,,true
TC_ROLE_003,Verify Role Grid Has Pagination,positive|role-management|grid|pagination,TC_ROLE_003,,false,,true
TC_ROLE_004,Verify Create Role Button Visible,positive|role-management|button|permission,TC_ROLE_004,,false,,true
TC_ROLE_005,Open Create Role Form,positive|role-management|create-form,TC_ROLE_005,,false,,true
TC_ROLE_006,Verify Create Role Breadcrumb,positive|role-management|create-form|breadcrumb,TC_ROLE_006,,false,,true
TC_ROLE_007,Verify All Create Role Form Fields Present,positive|role-management|create-form|fields,TC_ROLE_007,,false,,true
TC_ROLE_008,Verify Submit Button Present On Create Form,positive|role-management|create-form|button,TC_ROLE_008,,false,,true
TC_ROLE_009,Verify Permissions Table Visible On Create Form,positive|role-management|create-form|permissions,TC_ROLE_009,,false,,true
TC_ROLE_010,Verify View All And Edit All Checkboxes Present,positive|role-management|create-form|permissions,TC_ROLE_010,,false,,true
TC_ROLE_011,Create Role With All Fields,positive|role-management|create|e2e|smoke,TC_ROLE_011,,false,,true
TC_ROLE_012,Create Role With Mandatory Fields Only,positive|role-management|create|mandatory,TC_ROLE_012,,false,,true
TC_ROLE_013,Create Role With Data Masking Checked,positive|role-management|create|data-masking,TC_ROLE_013,,false,,true
TC_ROLE_014,Create Role And Select View All Permissions,positive|role-management|create|permissions,TC_ROLE_014,,false,,true
TC_ROLE_015,Create Role And Select Edit All Permissions,positive|role-management|create|permissions,TC_ROLE_015,,false,,true
TC_ROLE_016,Search Role In Grid,positive|role-management|search,TC_ROLE_016,,false,,true
TC_ROLE_017,Delete Role And Verify Removal,positive|role-management|delete|e2e|smoke,TC_ROLE_017,,false,,true
TC_ROLE_018,Close Create Role Form Without Saving,positive|role-management|close|form,TC_ROLE_018,,false,,true
TC_ROLE_019,Close Form After Filling Fields Should Not Create Role,positive|role-management|close|form,TC_ROLE_019,,false,,true
TC_ROLE_020,Submit Without Filling Any Field,negative|role-management|validation|empty,TC_ROLE_020,,false,,true
TC_ROLE_021,Submit Without Selecting Account,negative|role-management|validation|account,TC_ROLE_021,,false,,true
TC_ROLE_022,Submit Without Role Name,negative|role-management|validation|role-name,TC_ROLE_022,,false,,true
TC_ROLE_023,Role Name More Than 250 Characters,negative|role-management|validation|boundary|role-name,TC_ROLE_023,,false,,true
TC_ROLE_024,Description More Than 500 Characters,negative|role-management|validation|boundary|description,TC_ROLE_024,,false,,true
TC_ROLE_025,Duplicate Role Name Should Show Error,negative|role-management|validation|duplicate,TC_ROLE_025,,false,,true
TC_ROLE_026,Whitespace Only Role Name,negative|role-management|validation|role-name|whitespace,TC_ROLE_026,,false,,true
TC_ROLE_027,Cannot Delete Own Role Shows Error,negative|role-management|delete|guard|own-role,TC_ROLE_027,,false,,true
TC_ROLE_028,Cancel Delete Confirmation Should Keep Role,negative|role-management|delete|cancel,TC_ROLE_028,,false,,true
TC_ROLE_029,Role Name Exactly 250 Characters,edge-case|role-management|boundary|role-name,TC_ROLE_029,,false,,true
TC_ROLE_030,Description Exactly 500 Characters,edge-case|role-management|boundary|description,TC_ROLE_030,,false,,true
TC_ROLE_031,Special Characters In Role Name,edge-case|role-management|validation|role-name|special-chars,TC_ROLE_031,,false,,true
TC_ROLE_032,Verify Delete Confirmation Dialog Elements,edge-case|role-management|delete|dialog,TC_ROLE_032,,false,,true
TC_ROLE_033,Verify Search Input On List Page,edge-case|role-management|search|ui,TC_ROLE_033,,false,,true
