testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_PT_001,Create SIM Product Type Standard Flow,smoke|regression|positive|product-type|create-product-type,TC_PT_001,,false,,true
TC_PT_002,Assign EC To Existing Product Type,smoke|regression|positive|product-type|assign-ec,TC_PT_002,,false,,true
TC_PT_011,Verify Create Button Visible For RW User,regression|positive|product-type,TC_PT_011,,false,,true
TC_PT_13,Close Assign Popup Without Saving Should Not Change Assignment,regression|positive|assign-ec,TC_PT_13,,false,,true
TC_PT_003,Submit Without Selecting Account,regression|negative|product-type|create-product-type,TC_PT_003,,false,,true
TC_PT_004,Submit With Blank Product Type Name,regression|negative|product-type|create-product-type,TC_PT_004,,false,,true
TC_PT_005,Submit Without Selecting Service Type,regression|negative|product-type|create-product-type,TC_PT_005,,false,,true
TC_PT_006,Submit With Blank Service Sub Type 2,regression|negative|product-type|create-product-type,TC_PT_006,,false,,true
TC_PT_007,Submit With Blank Service Sub Type 3,regression|negative|product-type|create-product-type,TC_PT_007,,false,,true
TC_PT_008,Submit With Blank Service Sub Type 4,regression|negative|product-type|create-product-type,TC_PT_008,,false,,true
TC_PT_009,Submit With Esim Sub Type 3 But Blank Profile Name,regression|negative|product-type|create-product-type,TC_PT_009,,false,,true
TC_PT_010,Close Create Form Without Submitting,regression|negative|product-type|create-product-type,TC_PT_010,,false,,true
TC_PT_012,Click Update Without Selecting Any EC,regression|negative|product-type|assign-ec,TC_PT_012,,false,,true
TC_PT_17,Duplicate Product Type Name Should Show Error Toast,regression|negative|create|validation,TC_PT_17,,false,,true
TC_PT_14,Edit Icon Should Be Visible In Product Type Grid,regression|edge-case|validation,TC_PT_14,,false,,true
TC_PT_15,Assign Customer Icon Should Be Visible In Grid For RW User,regression|edge-case|assign-ec|validation,TC_PT_15,,false,,true
TC_PT_16,Search Product Type In Listing Grid,regression|edge-case|search,TC_PT_16,,false,,true
TC_PT_18,Clear Search Should Reset Grid,regression|edge-case|search,TC_PT_18,,false,,true
