testcaseid,testcasename,taglist,tasklist,variables,isdatadriven,datafile,isactive
TC_SR_001,Create SIM Range Via ICCID IMSI Successfully,smoke|regression|positive|sim_range,TC_SR_001,,false,,true
TC_SR_002,Verify Create SIM Range Page Elements Visible,smoke|regression|positive|sim_range,TC_SR_002,,false,,true
TC_SR_003,Verify Pool Count Auto Calculated After Adding Ranges,regression|positive|sim_range,TC_SR_003,,false,,true
TC_SR_004,Verify Cancel Button Redirects To SIM Range List,regression|positive|sim_range|navigation,TC_SR_004,,false,,true
TC_SR_005,Verify ICCID IMSI Tab Selection Shows Grid,regression|positive|sim_range,TC_SR_005,,false,,true
TC_SR_006,Verify ICCID Range Grid Shows Entry After Adding,regression|positive|sim_range,TC_SR_006,,false,,true
TC_SR_007,Verify IMSI Range Grid Shows Entry After Adding,regression|positive|sim_range,TC_SR_007,,false,,true
TC_SR_008,Submit Button Disabled When Pool Name Empty,regression|negative|sim_range,TC_SR_008,,false,,true
TC_SR_009,Submit Button Disabled When Account Not Selected,regression|negative|sim_range,TC_SR_009,,false,,true
TC_SR_010,Submit Button Disabled When Description Empty,regression|negative|sim_range,TC_SR_010,,false,,true
TC_SR_011,Submit Button Disabled When No ICCID Range Added,regression|negative|sim_range,TC_SR_011,,false,,true
TC_SR_012,Submit Button Disabled When ICCID And IMSI Counts Mismatch,regression|negative|sim_range,TC_SR_012,,false,,true
TC_SR_013,ICCID From Greater Than To Should Show Error,regression|negative|sim_range|boundary,TC_SR_013,,false,,true
TC_SR_014,ICCID Too Short Should Keep Popup Submit Disabled,regression|negative|sim_range|boundary,TC_SR_014,,false,,true
TC_SR_015,IMSI From Greater Than To Should Show Error,regression|negative|sim_range|boundary,TC_SR_015,,false,,true
TC_SR_016,IMSI Too Short Should Keep Popup Submit Disabled,regression|negative|sim_range|boundary,TC_SR_016,,false,,true
TC_SR_017,SQL Injection In Pool Name Should Be Rejected,regression|negative|security|sim_range,TC_SR_017,,false,,true
TC_SR_018,Special Characters In Pool Name Should Be Rejected,regression|negative|security|sim_range,TC_SR_018,,false,,true
TC_SR_019,Pool Name Exceeding Max Length Should Be Rejected,regression|negative|sim_range|boundary,TC_SR_019,,false,,true
TC_SR_020,Direct Access To Create SIM Range Without Login Should Redirect,regression|negative|security|sim_range|navigation,TC_SR_020,,false,,true
TC_SR_021,Direct Access To SIM Range Without Login Should Redirect,regression|negative|security|sim_range|navigation,TC_SR_021,,false,,true
