order,suite_id,suite_name,active,test_file,variables_file
1,Login,Login,true,,
2,APN,APN,true,,
3,SIM_Range,SIM Range,true,,
4,SIM_Order,SIM Order,true,,
5,SIM_Range_MSISDN,SIM Range MSISDN,true,,sim_range_variables.py
6,IP_Pool,IP Pool,true,,
7,IP_Whitelist,IP Whitelist,true,,
8,Device_State,Device State,true,,
9,Device_Plan,Device Plan,true,,
10,Account_Onboard,Account Onboard,true,tests/onboard_customer_api_tests.robot,variables/onboard_customer_variables.py
11,Cost_Center,Cost Center,true,,
12,CSR_Journey,CSR Journey,true,,
13,SIM_Product_Type,SIM Product Type,true,tests/product_type_tests.robot,variables/product_type_variables.py
14,E2E_Flow,E2E Flow,true,tests/e2e_flow.robot,variables/order_processing_variables.py
15,E2E_Flow_With_Usage,E2E Flow With Usage,true,tests/e2e_flow_with_usage.robot,variables/usage_variables.py
16,Rule_Engine,Rule Engine,true,,
17,Role_Management,Role Management,true,,
18,User_Management,User Management,true,,
