order,module,suite_file,test_case_id,test_case_name,type,tags,is_datadriven,datadriven_file
1,Login,tests/login_tests.robot,TC_LOGIN_001,Valid Credentials Should Login Successfully,positive,regression|login|TC_LOGIN_001|smoke|positive,no,
2,Login,tests/login_tests.robot,TC_LOGIN_002,Logout Should Redirect To Login Page,positive,regression|login|TC_LOGIN_002|smoke|positive,no,
3,Login,tests/login_tests.robot,TC_LOGIN_005,Invalid Username Should Show Error,negative,regression|login|TC_LOGIN_005|negative,no,
4,Login,tests/login_tests.robot,TC_LOGIN_006,Invalid Password Should Show Error,negative,regression|login|TC_LOGIN_006|negative,no,
5,Login,tests/login_tests.robot,TC_LOGIN_007,Both Invalid Username And Password Should Show Error,negative,regression|login|TC_LOGIN_007|negative,no,
6,Login,tests/login_tests.robot,TC_LOGIN_008,Empty Username Field Should Show Error,negative,regression|login|TC_LOGIN_008|negative,no,
7,Login,tests/login_tests.robot,TC_LOGIN_009,Empty Password Field Should Show Error,negative,regression|login|TC_LOGIN_009|negative,no,
8,Login,tests/login_tests.robot,TC_LOGIN_010,All Fields Empty Should Show Error,negative,regression|login|TC_LOGIN_010|negative,no,
9,Login,tests/login_tests.robot,TC_LOGIN_011,Empty Captcha Should Show Error,negative,regression|login|TC_LOGIN_011|negative,no,
10,Login,tests/login_tests.robot,TC_LOGIN_012,Incorrect Captcha Should Show Error,negative,regression|login|TC_LOGIN_012|negative,no,
11,Login,tests/login_tests.robot,TC_LOGIN_015,Whitespace Only Username Should Show Error,negative,regression|login|TC_LOGIN_015|negative,no,
12,Login,tests/login_tests.robot,TC_LOGIN_016,Direct Access To ManageDevices Without Login Should Redirect,negative,regression|login|TC_LOGIN_016|negative,no,
13,Sanity,tests/sanity_tests.robot,TC_SANITY_001,Manage Devices Page Loads With Grid,positive,sanity|TC_SANITY_001,no,
14,Sanity,tests/sanity_tests.robot,TC_SANITY_002,Upload History Page Loads With Grid,positive,sanity|TC_SANITY_002,no,
15,Sanity,tests/sanity_tests.robot,TC_SANITY_003,Blank SIM Page Loads With Grid,positive,sanity|TC_SANITY_003,no,
16,Sanity,tests/sanity_tests.robot,TC_SANITY_004,Lost SIM Page Loads With Grid,positive,sanity|TC_SANITY_004,no,
17,Sanity,tests/sanity_tests.robot,TC_SANITY_005,Pool Shared Plan Details Page Loads With Grid,positive,sanity|TC_SANITY_005,no,
18,Sanity,tests/sanity_tests.robot,TC_SANITY_006,Retention Cases Page Loads With Grid,positive,sanity|TC_SANITY_006,no,
19,Sanity,tests/sanity_tests.robot,TC_SANITY_007,Dashboard Page Loads With Charts,positive,sanity|TC_SANITY_007,no,
