taskid,tasktype,taskparams,expectations,isactive
TC_CSRJ_001,TC_CSRJ_001,,status->PASS,true
TC_CSRJ_002,TC_CSRJ_002,,status->PASS,true
TC_CSRJ_018,TC_CSRJ_018,,status->PASS,true
TC_CSRJ_003,TC_CSRJ_003,,status->PASS,true
TC_CSRJ_017,TC_CSRJ_017,,status->PASS,true
TC_CSRJ_006,TC_CSRJ_006,,status->PASS,true
TC_CSRJ_012,TC_CSRJ_012,,status->PASS,true
TC_CSRJ_010,TC_CSRJ_010,,status->PASS,true
TC_CSRJ_013,TC_CSRJ_013,,status->PASS,true
TC_CSRJ_019,TC_CSRJ_019,,status->PASS,true
TC_CSRJ_020,TC_CSRJ_020,,status->PASS,true
TC_CSRJ_041,TC_CSRJ_041,,status->PASS,true
TC_CSRJ_036,TC_CSRJ_036,,status->PASS,true
TC_CSRJ_037,TC_CSRJ_037,,status->PASS,true
TC_CSRJ_007,TC_CSRJ_007,,status->PASS,true
TC_CSRJ_008,TC_CSRJ_008,,status->PASS,true
TC_CSRJ_009,TC_CSRJ_009,,status->PASS,true
TC_CSRJ_011,TC_CSRJ_011,,status->PASS,true
TC_CSRJ_014,TC_CSRJ_014,,status->PASS,true
TC_CSRJ_015,TC_CSRJ_015,,status->PASS,true
TC_CSRJ_016,TC_CSRJ_016,,status->PASS,true
TC_CSRJ_021,TC_CSRJ_021,,status->PASS,true
TC_CSRJ_022,TC_CSRJ_022,,status->PASS,true
TC_CSRJ_005,TC_CSRJ_005,,status->PASS,true
TC_CSRJ_034,TC_CSRJ_034,,status->PASS,true
TC_CSRJ_035,TC_CSRJ_035,,status->PASS,true
TC_CSRJ_027,TC_CSRJ_027,,status->PASS,true
TC_CSRJ_028,TC_CSRJ_028,,status->PASS,true
TC_CSRJ_029,TC_CSRJ_029,,status->PASS,true
TC_CSRJ_030,TC_CSRJ_030,,status->PASS,true
TC_CSRJ_031,TC_CSRJ_031,,status->PASS,true
TC_CSRJ_032,TC_CSRJ_032,,status->PASS,true
TC_CSRJ_033,TC_CSRJ_033,,status->PASS,true
TC_CSRJ_038,TC_CSRJ_038,,status->PASS,true
TC_CSRJ_039,TC_CSRJ_039,,status->PASS,true
TC_CSRJ_040,TC_CSRJ_040,,status->PASS,true
TC_CSRJ_042,TC_CSRJ_042,,status->PASS,true
TC_CSRJ_043,TC_CSRJ_043,,status->PASS,true
TC_CSRJ_044,TC_CSRJ_044,,status->PASS,true
TC_CSRJ_050,TC_CSRJ_050,,status->PASS,true
TC_CSRJ_051,TC_CSRJ_051,,status->PASS,true
TC_CSRJ_004,TC_CSRJ_004,,status->PASS,true
TC_CSRJ_023,TC_CSRJ_023,,status->PASS,true
TC_CSRJ_024,TC_CSRJ_024,,status->PASS,true
TC_CSRJ_025,TC_CSRJ_025,,status->PASS,true
TC_CSRJ_026,TC_CSRJ_026,,status->PASS,true
TC_CSRJ_045,TC_CSRJ_045,,status->PASS,true
TC_CSRJ_046,TC_CSRJ_046,,status->PASS,true
TC_CSRJ_047,TC_CSRJ_047,,status->PASS,true
TC_CSRJ_048,TC_CSRJ_048,,status->PASS,true
TC_CSRJ_049,TC_CSRJ_049,,status->PASS,true
TC_CSRJ_052,TC_CSRJ_052,,status->PASS,true
TC_CSRJ_053,TC_CSRJ_053,,status->PASS,true
TC_CSRJ_054,TC_CSRJ_054,,status->PASS,true
TC_CSRJ_055,TC_CSRJ_055,,status->PASS,true
TC_CSRJ_004_Delete,TC_CSRJ_004_Delete,,status->PASS,true
