taskid,tasktype,taskparams,expectations,isactive
TC_CC_001,TC_CC_001,,status->PASS,true
TC_CC_002,TC_CC_002,,status->PASS,true
TC_CC_003,TC_CC_003,,status->PASS,true
TC_CC_004,TC_CC_004,,status->PASS,true
TC_CC_005,TC_CC_005,,status->PASS,true
TC_CC_006,TC_CC_006,,status->PASS,true
TC_CC_007,TC_CC_007,,status->PASS,true
TC_CC_008,TC_CC_008,,status->PASS,true
TC_CC_009,TC_CC_009,,status->PASS,true
TC_CC_010,TC_CC_010,,status->PASS,true
TC_CC_011,TC_CC_011,,status->PASS,true
TC_CC_012,TC_CC_012,,status->PASS,true
TC_CC_013,TC_CC_013,,status->PASS,true
TC_CC_014,TC_CC_014,,status->PASS,true
TC_CC_015,TC_CC_015,,status->PASS,true
TC_CC_016,TC_CC_016,,status->PASS,true
TC_CC_017,TC_CC_017,,status->PASS,true
TC_CC_018,TC_CC_018,,status->PASS,true
TC_CC_020,TC_CC_020,,status->PASS,true
TC_CC_021,TC_CC_021,,status->PASS,true
TC_CC_022,TC_CC_022,,status->PASS,true
TC_CC_023,TC_CC_023,,status->PASS,true
TC_CC_024,TC_CC_024,,status->PASS,true
TC_CC_025,TC_CC_025,,status->PASS,true
TC_CC_026,TC_CC_026,,status->PASS,true
