taskid,tasktype,taskparams,expectations,isactive
TC_DSC_001,TC_DSC_001,,status->PASS,true
TC_DSC_002,TC_DSC_002,,status->PASS,true
TC_DSC_003,TC_DSC_003,,status->PASS,true
TC_DSC_004,TC_DSC_004,,status->PASS,true
TC_DSC_005,TC_DSC_005,,status->PASS,true
TC_DSC_006,TC_DSC_006,,status->PASS,true
TC_DSC_007,TC_DSC_007,,status->PASS,true
TC_DSC_008,TC_DSC_008,,status->PASS,true
TC_DSC_009,TC_DSC_009,,status->PASS,true
TC_DSC_010,TC_DSC_010,,status->PASS,true
TC_DSC_011,TC_DSC_011,,status->PASS,true
TC_DSC_012,TC_DSC_012,,status->PASS,true
TC_DSC_013,TC_DSC_013,,status->PASS,true
TC_DSC_014,TC_DSC_014,,status->PASS,true
TC_DSC_015,TC_DSC_015,,status->PASS,true
TC_DSC_016,TC_DSC_016,,status->PASS,true
