taskid,tasktype,taskparams,expectations,isactive
TC_WL_001,TC_WL_001,,status->PASS,true
TC_WL_002,TC_WL_002,,status->PASS,true
TC_WL_003,TC_WL_003,,status->PASS,true
TC_WL_004,TC_WL_004,,status->PASS,true
TC_WL_005,TC_WL_005,,status->PASS,true
TC_WL_006,TC_WL_006,,status->PASS,true
TC_WL_007,TC_WL_007,,status->PASS,true
TC_WL_008,TC_WL_008,,status->PASS,true
TC_WL_009,TC_WL_009,,status->PASS,true
TC_WL_010,TC_WL_010,,status->PASS,true
TC_WL_011,TC_WL_011,,status->PASS,true
TC_WL_012,TC_WL_012,,status->PASS,true
TC_WL_013,TC_WL_013,,status->PASS,true
TC_WL_014,TC_WL_014,,status->PASS,true
TC_WL_015,TC_WL_015,,status->PASS,true
TC_WL_016,TC_WL_016,,status->PASS,true
TC_WL_017,TC_WL_017,,status->PASS,true
TC_WL_018,TC_WL_018,,status->PASS,true
TC_WL_019,TC_WL_019,,status->PASS,true
TC_WL_020,TC_WL_020,,status->PASS,true
