taskid,tasktype,taskparams,expectations,isactive
TC_ROLE_001,TC_ROLE_001,,status->PASS,true
TC_ROLE_002,TC_ROLE_002,,status->PASS,true
TC_ROLE_003,TC_ROLE_003,,status->PASS,true
TC_ROLE_004,TC_ROLE_004,,status->PASS,true
TC_ROLE_005,TC_ROLE_005,,status->PASS,true
TC_ROLE_006,TC_ROLE_006,,status->PASS,true
TC_ROLE_007,TC_ROLE_007,,status->PASS,true
TC_ROLE_008,TC_ROLE_008,,status->PASS,true
TC_ROLE_009,TC_ROLE_009,,status->PASS,true
TC_ROLE_010,TC_ROLE_010,,status->PASS,true
TC_ROLE_011,TC_ROLE_011,,status->PASS,true
TC_ROLE_012,TC_ROLE_012,,status->PASS,true
TC_ROLE_013,TC_ROLE_013,,status->PASS,true
TC_ROLE_014,TC_ROLE_014,,status->PASS,true
TC_ROLE_015,TC_ROLE_015,,status->PASS,true
TC_ROLE_016,TC_ROLE_016,,status->PASS,true
TC_ROLE_017,TC_ROLE_017,,status->PASS,true
TC_ROLE_018,TC_ROLE_018,,status->PASS,true
TC_ROLE_019,TC_ROLE_019,,status->PASS,true
TC_ROLE_020,TC_ROLE_020,,status->PASS,true
TC_ROLE_021,TC_ROLE_021,,status->PASS,true
TC_ROLE_022,TC_ROLE_022,,status->PASS,true
TC_ROLE_023,TC_ROLE_023,,status->PASS,true
TC_ROLE_024,TC_ROLE_024,,status->PASS,true
TC_ROLE_025,TC_ROLE_025,,status->PASS,true
TC_ROLE_026,TC_ROLE_026,,status->PASS,true
TC_ROLE_027,TC_ROLE_027,,status->PASS,true
TC_ROLE_028,TC_ROLE_028,,status->PASS,true
TC_ROLE_029,TC_ROLE_029,,status->PASS,true
TC_ROLE_030,TC_ROLE_030,,status->PASS,true
TC_ROLE_031,TC_ROLE_031,,status->PASS,true
TC_ROLE_032,TC_ROLE_032,,status->PASS,true
TC_ROLE_033,TC_ROLE_033,,status->PASS,true
