taskid,tasktype,taskparams,expectations,isactive
TC_SO_001,TC_SO_001,,status->PASS,true
TC_SO_002,TC_SO_002,,status->PASS,true
TC_SO_003,TC_SO_003,,status->PASS,true
TC_SO_004,TC_SO_004,,status->PASS,true
TC_SO_005,TC_SO_005,,status->PASS,true
TC_SO_006,TC_SO_006,,status->PASS,true
TC_SO_007,TC_SO_007,,status->PASS,true
TC_SO_008,TC_SO_008,,status->PASS,true
TC_SO_009,TC_SO_009,,status->PASS,true
TC_SO_010,TC_SO_010,,status->PASS,true
TC_SO_011,TC_SO_011,,status->PASS,true
TC_SO_012,TC_SO_012,,status->PASS,true
TC_SO_013,TC_SO_013,,status->PASS,true
TC_SO_014,TC_SO_014,,status->PASS,true
TC_SO_015,TC_SO_015,,status->PASS,true
TC_SO_016,TC_SO_016,,status->PASS,true
TC_SO_017,TC_SO_017,,status->PASS,true
TC_SO_018,TC_SO_018,,status->PASS,true
TC_SO_019,TC_SO_019,,status->PASS,true
TC_SO_020,TC_SO_020,,status->PASS,true
TC_SO_021,TC_SO_021,,status->PASS,true
