taskid,tasktype,taskparams,expectations,isactive
TC_PT_001,TC_PT_001,,status->PASS,true
TC_PT_002,TC_PT_002,,status->PASS,true
TC_PT_011,TC_PT_011,,status->PASS,true
TC_PT_13,TC_PT_13,,status->PASS,true
TC_PT_003,TC_PT_003,,status->PASS,true
TC_PT_004,TC_PT_004,,status->PASS,true
TC_PT_005,TC_PT_005,,status->PASS,true
TC_PT_006,TC_PT_006,,status->PASS,true
TC_PT_007,TC_PT_007,,status->PASS,true
TC_PT_008,TC_PT_008,,status->PASS,true
TC_PT_009,TC_PT_009,,status->PASS,true
TC_PT_010,TC_PT_010,,status->PASS,true
TC_PT_012,TC_PT_012,,status->PASS,true
TC_PT_17,TC_PT_17,,status->PASS,true
TC_PT_14,TC_PT_14,,status->PASS,true
TC_PT_15,TC_PT_15,,status->PASS,true
TC_PT_16,TC_PT_16,,status->PASS,true
TC_PT_18,TC_PT_18,,status->PASS,true
