taskid,tasktype,taskparams,expectations,isactive
TC_SR_001,TC_SR_001,,status->PASS,true
TC_SR_002,TC_SR_002,,status->PASS,true
TC_SR_003,TC_SR_003,,status->PASS,true
TC_SR_004,TC_SR_004,,status->PASS,true
TC_SR_005,TC_SR_005,,status->PASS,true
TC_SR_006,TC_SR_006,,status->PASS,true
TC_SR_007,TC_SR_007,,status->PASS,true
TC_SR_008,TC_SR_008,,status->PASS,true
TC_SR_009,TC_SR_009,,status->PASS,true
TC_SR_010,TC_SR_010,,status->PASS,true
TC_SR_011,TC_SR_011,,status->PASS,true
TC_SR_012,TC_SR_012,,status->PASS,true
TC_SR_013,TC_SR_013,,status->PASS,true
TC_SR_014,TC_SR_014,,status->PASS,true
TC_SR_015,TC_SR_015,,status->PASS,true
TC_SR_016,TC_SR_016,,status->PASS,true
TC_SR_017,TC_SR_017,,status->PASS,true
TC_SR_018,TC_SR_018,,status->PASS,true
TC_SR_019,TC_SR_019,,status->PASS,true
TC_SR_020,TC_SR_020,,status->PASS,true
TC_SR_021,TC_SR_021,,status->PASS,true
